cond,iter,accuracy
cond_U_s1,00500,0.5
cond_U_s1,01000,50.1
cond_U_s1,01500,70.0
cond_U_s1,02000,62.5
cond_U_s1,02500,97.0
cond_U_s1,03000,99.1
cond_U_s1,03500,99.4
cond_U_s1,04000,99.1
cond_U_s1,04500,99.3
cond_U_s1,05000,99.5
cond_U_s1,05500,99.1
cond_U_s1,06000,99.1
cond_U_s1,06500,99.1
cond_U_s1,07000,99.0
cond_U_s1,07500,99.3
cond_U_s1,08000,99.0
cond_U_s1,08500,99.8
cond_U_s1,09000,99.1
cond_U_s1,09500,99.3
cond_U_s1,10000,99.4
cond_U_s2,00500,1.6
cond_U_s2,01000,76.2
cond_U_s2,01500,90.2
cond_U_s2,02000,96.9
cond_U_s2,02500,37.4
cond_U_s2,03000,97.8
cond_U_s2,03500,97.2
cond_U_s2,04000,99.4
cond_U_s2,04500,99.1
cond_U_s2,05000,99.4
cond_U_s2,05500,99.0
cond_U_s2,06000,99.5
cond_U_s2,06500,99.4
cond_U_s2,07000,99.4
cond_U_s2,07500,99.4
cond_U_s2,08000,99.8
cond_U_s2,08500,99.5
cond_U_s2,09000,99.5
cond_U_s2,09500,99.6
cond_U_s2,10000,98.8
cond_U_s3,00500,0.1
cond_U_s3,01000,53.3
cond_U_s3,01500,94.1
cond_U_s3,02000,96.9
cond_U_s3,02500,98.5
cond_U_s3,03000,96.3
cond_U_s3,03500,99.5
cond_U_s3,04000,98.3
cond_U_s3,04500,94.9
cond_U_s3,05000,99.3
cond_U_s3,05500,99.6
cond_U_s3,06000,99.5
cond_U_s3,06500,99.0
cond_U_s3,07000,99.5
cond_U_s3,07500,99.8
cond_U_s3,08000,99.0
cond_U_s3,08500,99.3
cond_U_s3,09000,98.5
cond_U_s3,09500,99.5
cond_U_s3,10000,99.3
cond_V_s1,00500,0.5
cond_V_s1,01000,34.2
cond_V_s1,01500,58.5
cond_V_s1,02000,96.2
cond_V_s1,02500,61.1
cond_V_s1,03000,98.5
cond_V_s1,03500,99.3
cond_V_s1,04000,99.3
cond_V_s1,04500,95.3
cond_V_s1,05000,99.8
cond_V_s1,05500,99.6
cond_V_s1,06000,98.9
cond_V_s1,06500,99.5
cond_V_s1,07000,99.1
cond_V_s1,07500,99.5
cond_V_s1,08000,99.4
cond_V_s1,08500,99.4
cond_V_s1,09000,99.1
cond_V_s1,09500,99.5
cond_V_s1,10000,99.5
cond_V_s2,00500,3.7
cond_V_s2,01000,73.2
cond_V_s2,01500,87.9
cond_V_s2,02000,92.7
cond_V_s2,02500,98.1
cond_V_s2,03000,99.9
cond_V_s2,03500,98.4
cond_V_s2,04000,99.6
cond_V_s2,04500,98.5
cond_V_s2,05000,99.1
cond_V_s2,05500,99.0
cond_V_s2,06000,99.4
cond_V_s2,06500,99.3
cond_V_s2,07000,99.0
cond_V_s2,07500,99.3
cond_V_s2,08000,99.3
cond_V_s2,08500,99.8
cond_V_s2,09000,99.4
cond_V_s2,09500,99.0
cond_V_s2,10000,99.1
cond_V_s3,00500,1.9
cond_V_s3,01000,68.1
cond_V_s3,01500,94.7
cond_V_s3,02000,97.7
cond_V_s3,02500,92.1
cond_V_s3,03000,99.1
cond_V_s3,03500,97.5
cond_V_s3,04000,97.7
cond_V_s3,04500,98.0
cond_V_s3,05000,99.9
cond_V_s3,05500,99.5
cond_V_s3,06000,99.5
cond_V_s3,06500,99.9
cond_V_s3,07000,99.1
cond_V_s3,07500,99.3
cond_V_s3,08000,99.5
cond_V_s3,08500,99.0
cond_V_s3,09000,98.9
cond_V_s3,09500,99.4
cond_V_s3,10000,98.4
