cond,iter,accuracy
cond_M_s1,00500,0.0
cond_M_s1,01000,39.4
cond_M_s1,01500,62.1
cond_M_s1,02000,93.2
cond_M_s1,02500,84.7
cond_M_s1,03000,79.3
cond_M_s1,03500,95.7
cond_M_s1,04000,98.3
cond_M_s1,04500,95.6
cond_M_s1,05000,99.1
cond_M_s1,05500,98.8
cond_M_s1,06000,98.4
cond_M_s1,06500,98.6
cond_M_s1,07000,98.0
cond_M_s1,07500,99.1
cond_M_s1,08000,99.0
cond_M_s1,08500,98.4
cond_M_s1,09000,98.4
cond_M_s1,09500,98.5
cond_M_s1,10000,97.9
cond_M_s2,00500,0.0
cond_M_s2,01000,34.1
cond_M_s2,01500,68.1
cond_M_s2,02000,91.0
cond_M_s2,02500,94.0
cond_M_s2,03000,97.4
cond_M_s2,03500,99.0
cond_M_s2,04000,93.8
cond_M_s2,04500,98.0
cond_M_s2,05000,97.9
cond_M_s2,05500,98.8
cond_M_s2,06000,98.6
cond_M_s2,06500,98.1
cond_M_s2,07000,98.4
cond_M_s2,07500,99.0
cond_M_s2,08000,98.6
cond_M_s2,08500,98.9
cond_M_s2,09000,99.1
cond_M_s2,09500,99.0
cond_M_s2,10000,99.3
cond_M_s3,00500,0.0
cond_M_s3,01000,26.8
cond_M_s3,01500,77.3
cond_M_s3,02000,87.4
cond_M_s3,02500,87.3
cond_M_s3,03000,98.1
cond_M_s3,03500,98.3
cond_M_s3,04000,93.7
cond_M_s3,04500,99.0
cond_M_s3,05000,99.1
cond_M_s3,05500,98.8
cond_M_s3,06000,97.5
cond_M_s3,06500,99.0
cond_M_s3,07000,97.8
cond_M_s3,07500,97.2
cond_M_s3,08000,98.8
cond_M_s3,08500,99.1
cond_M_s3,09000,98.9
cond_M_s3,09500,98.3
cond_M_s3,10000,98.3
cond_N_s1,00500,0.0
cond_N_s1,01000,36.5
cond_N_s1,01500,87.2
cond_N_s1,02000,93.0
cond_N_s1,02500,93.8
cond_N_s1,03000,98.6
cond_N_s1,03500,99.0
cond_N_s1,04000,99.3
cond_N_s1,04500,99.4
cond_N_s1,05000,99.1
cond_N_s1,05500,98.5
cond_N_s1,06000,99.4
cond_N_s1,06500,98.4
cond_N_s1,07000,98.5
cond_N_s1,07500,99.3
cond_N_s1,08000,98.8
cond_N_s1,08500,98.9
cond_N_s1,09000,98.6
cond_N_s1,09500,98.8
cond_N_s1,10000,98.0
cond_N_s2,00500,0.0
cond_N_s2,01000,29.0
cond_N_s2,01500,59.6
cond_N_s2,02000,83.1
cond_N_s2,02500,84.0
cond_N_s2,03000,98.5
cond_N_s2,03500,98.5
cond_N_s2,04000,98.5
cond_N_s2,04500,99.4
cond_N_s2,05000,98.6
cond_N_s2,05500,95.8
cond_N_s2,06000,98.5
cond_N_s2,06500,99.1
cond_N_s2,07000,97.9
cond_N_s2,07500,98.3
cond_N_s2,08000,98.9
cond_N_s2,08500,98.8
cond_N_s2,09000,98.9
cond_N_s2,09500,98.8
cond_N_s2,10000,98.4
cond_N_s3,00500,0.0
cond_N_s3,01000,24.6
cond_N_s3,01500,79.5
cond_N_s3,02000,90.7
cond_N_s3,02500,89.3
cond_N_s3,03000,97.7
cond_N_s3,03500,97.8
cond_N_s3,04000,96.0
cond_N_s3,04500,99.1
cond_N_s3,05000,98.0
cond_N_s3,05500,98.6
cond_N_s3,06000,99.1
cond_N_s3,06500,98.8
cond_N_s3,07000,98.0
cond_N_s3,07500,98.5
cond_N_s3,08000,99.1
cond_N_s3,08500,98.4
cond_N_s3,09000,98.4
cond_N_s3,09500,99.4
cond_N_s3,10000,98.4
