cond,iter,accuracy
cond_G_s1,01000,0.0
cond_G_s1,02000,30.3
cond_G_s1,03000,71.1
cond_G_s1,04000,82.9
cond_G_s1,05000,89.7
cond_G_s1,06000,94.6
cond_G_s1,07000,94.1
cond_G_s1,08000,94.3
cond_G_s1,09000,94.3
cond_G_s1,10000,96.7
cond_G_s1,11000,97.8
cond_G_s1,12000,98.7
cond_G_s1,13000,98.0
cond_G_s1,14000,96.0
cond_G_s1,15000,98.3
cond_G_s1,16000,97.0
cond_G_s1,17000,98.1
cond_G_s1,18000,98.4
cond_G_s1,19000,97.7
cond_G_s1,20000,97.7
cond_G_s2,01000,0.0
cond_G_s2,02000,0.1
cond_G_s2,03000,2.0
cond_G_s2,04000,38.2
cond_G_s2,05000,68.9
cond_G_s2,06000,84.2
cond_G_s2,07000,80.3
cond_G_s2,08000,90.3
cond_G_s2,09000,91.0
cond_G_s2,10000,87.3
cond_G_s2,11000,96.2
cond_G_s2,12000,96.3
cond_G_s2,13000,95.2
cond_G_s2,14000,95.6
cond_G_s2,15000,95.2
cond_G_s2,16000,96.4
cond_G_s2,17000,96.1
cond_G_s2,18000,95.3
cond_G_s2,19000,95.5
cond_G_s2,20000,94.4
cond_G_s3,01000,0.1
cond_G_s3,02000,20.7
cond_G_s3,03000,60.9
cond_G_s3,04000,82.9
cond_G_s3,05000,93.2
cond_G_s3,06000,95.1
cond_G_s3,07000,97.2
cond_G_s3,08000,95.9
cond_G_s3,09000,98.5
cond_G_s3,10000,97.9
cond_G_s3,11000,98.6
cond_G_s3,12000,97.8
cond_G_s3,13000,97.1
cond_G_s3,14000,98.0
cond_G_s3,15000,97.6
cond_G_s3,16000,95.8
cond_G_s3,17000,97.1
cond_G_s3,18000,98.4
cond_G_s3,19000,98.6
cond_G_s3,20000,98.1
cond_G_s4,01000,0.0
cond_G_s4,02000,0.1
cond_G_s4,03000,28.8
cond_G_s4,04000,51.2
cond_G_s4,05000,68.8
cond_G_s4,06000,87.0
cond_G_s4,07000,86.4
cond_G_s4,08000,93.7
cond_G_s4,09000,97.2
cond_G_s4,10000,91.8
cond_G_s4,11000,97.1
cond_G_s4,12000,97.9
cond_G_s4,13000,98.8
cond_G_s4,14000,98.9
cond_G_s4,15000,97.8
cond_G_s4,16000,97.8
cond_G_s4,17000,97.5
cond_G_s4,18000,98.2
cond_G_s4,19000,98.0
cond_G_s4,20000,98.2
cond_G_s5,01000,0.0
cond_G_s5,02000,0.0
cond_G_s5,03000,0.1
cond_G_s5,04000,0.6
cond_G_s5,05000,19.4
cond_G_s5,06000,73.1
cond_G_s5,07000,84.7
cond_G_s5,08000,79.1
cond_G_s5,09000,94.2
cond_G_s5,10000,95.2
cond_G_s5,11000,97.8
cond_G_s5,12000,95.6
cond_G_s5,13000,97.4
cond_G_s5,14000,98.1
cond_G_s5,15000,98.2
cond_G_s5,16000,96.5
cond_G_s5,17000,97.4
cond_G_s5,18000,97.3
cond_G_s5,19000,95.8
cond_G_s5,20000,96.8
cond_H_s1,01000,0.1
cond_H_s1,02000,0.0
cond_H_s1,03000,12.4
cond_H_s1,04000,41.4
cond_H_s1,05000,58.5
cond_H_s1,06000,64.7
cond_H_s1,07000,70.6
cond_H_s1,08000,66.9
cond_H_s1,09000,87.2
cond_H_s1,10000,81.7
cond_H_s1,11000,93.6
cond_H_s1,12000,82.3
cond_H_s1,13000,94.6
cond_H_s1,14000,96.5
cond_H_s1,15000,97.7
cond_H_s1,16000,98.2
cond_H_s1,17000,98.9
cond_H_s1,18000,98.7
cond_H_s1,19000,99.3
cond_H_s1,20000,99.1
cond_H_s2,01000,0.0
cond_H_s2,02000,0.1
cond_H_s2,03000,0.1
cond_H_s2,04000,0.0
cond_H_s2,05000,0.3
cond_H_s2,06000,0.1
cond_H_s2,07000,0.3
cond_H_s2,08000,1.2
cond_H_s2,09000,37.6
cond_H_s2,10000,61.3
cond_H_s2,11000,74.1
cond_H_s2,12000,80.2
cond_H_s2,13000,81.1
cond_H_s2,14000,85.9
cond_H_s2,15000,93.7
cond_H_s2,16000,95.4
cond_H_s2,17000,94.8
cond_H_s2,18000,98.2
cond_H_s2,19000,97.5
cond_H_s2,20000,98.2
cond_H_s3,01000,0.0
cond_H_s3,02000,0.0
cond_H_s3,03000,2.4
cond_H_s3,04000,53.6
cond_H_s3,05000,73.9
cond_H_s3,06000,84.2
cond_H_s3,07000,89.9
cond_H_s3,08000,86.5
cond_H_s3,09000,97.4
cond_H_s3,10000,87.9
cond_H_s3,11000,94.6
cond_H_s3,12000,97.7
cond_H_s3,13000,97.3
cond_H_s3,14000,98.8
cond_H_s3,15000,99.4
cond_H_s3,16000,99.2
cond_H_s3,17000,99.2
cond_H_s3,18000,99.4
cond_H_s3,19000,99.7
cond_H_s3,20000,99.8
cond_H_s4,01000,0.0
cond_H_s4,02000,0.0
cond_H_s4,03000,0.2
cond_H_s4,04000,6.6
cond_H_s4,05000,63.2
cond_H_s4,06000,81.4
cond_H_s4,07000,76.7
cond_H_s4,08000,85.8
cond_H_s4,09000,76.1
cond_H_s4,10000,79.8
cond_H_s4,11000,94.2
cond_H_s4,12000,76.9
cond_H_s4,13000,96.6
cond_H_s4,14000,95.9
cond_H_s4,15000,97.6
cond_H_s4,16000,97.9
cond_H_s4,17000,98.9
cond_H_s4,18000,98.5
cond_H_s4,19000,99.3
cond_H_s4,20000,99.4
cond_H_s5,01000,0.0
cond_H_s5,02000,0.1
cond_H_s5,03000,0.0
cond_H_s5,04000,0.0
cond_H_s5,05000,0.8
cond_H_s5,06000,14.1
cond_H_s5,07000,50.7
cond_H_s5,08000,67.5
cond_H_s5,09000,83.7
cond_H_s5,10000,87.7
cond_H_s5,11000,95.3
cond_H_s5,12000,80.0
cond_H_s5,13000,95.8
cond_H_s5,14000,96.2
cond_H_s5,15000,97.3
cond_H_s5,16000,98.1
cond_H_s5,17000,98.5
cond_H_s5,18000,95.3
