cond,iter,accuracy
cond_S_s1,00500,1.6
cond_S_s1,01000,77.4
cond_S_s1,01500,96.5
cond_S_s1,02000,98.3
cond_S_s1,02500,99.3
cond_S_s1,03000,97.8
cond_S_s1,03500,95.3
cond_S_s1,04000,99.1
cond_S_s1,04500,99.5
cond_S_s1,05000,97.5
cond_S_s1,05500,99.5
cond_S_s1,06000,99.1
cond_S_s1,06500,99.1
cond_S_s1,07000,99.1
cond_S_s1,07500,99.0
cond_S_s1,08000,99.3
cond_S_s1,08500,98.8
cond_S_s1,09000,99.0
cond_S_s1,09500,99.0
cond_S_s1,10000,98.8
cond_S_s2,00500,1.5
cond_S_s2,01000,75.2
cond_S_s2,01500,89.4
cond_S_s2,02000,97.8
cond_S_s2,02500,96.9
cond_S_s2,03000,97.9
cond_S_s2,03500,99.5
cond_S_s2,04000,98.6
cond_S_s2,04500,99.9
cond_S_s2,05000,99.3
cond_S_s2,05500,99.8
cond_S_s2,06000,98.3
cond_S_s2,06500,98.8
cond_S_s2,07000,99.1
cond_S_s2,07500,99.3
cond_S_s2,08000,99.1
cond_S_s2,08500,99.1
cond_S_s2,09000,99.4
cond_S_s2,09500,99.5
cond_S_s2,10000,99.6
cond_S_s3,00500,2.3
cond_S_s3,01000,67.0
cond_S_s3,01500,96.0
cond_S_s3,02000,96.4
cond_S_s3,02500,94.7
cond_S_s3,03000,97.7
cond_S_s3,03500,98.8
cond_S_s3,04000,89.8
cond_S_s3,04500,99.3
cond_S_s3,05000,99.4
cond_S_s3,05500,99.1
cond_S_s3,06000,99.0
cond_S_s3,06500,99.4
cond_S_s3,07000,99.3
cond_S_s3,07500,98.8
cond_S_s3,08000,99.4
cond_S_s3,08500,98.8
cond_S_s3,09000,99.5
cond_S_s3,09500,99.3
cond_S_s3,10000,99.5
cond_T_s1,00500,1.0
cond_T_s1,01000,62.8
cond_T_s1,01500,92.6
cond_T_s1,02000,93.7
cond_T_s1,02500,81.6
cond_T_s1,03000,95.7
cond_T_s1,03500,96.8
cond_T_s1,04000,99.4
cond_T_s1,04500,97.9
cond_T_s1,05000,99.1
cond_T_s1,05500,99.4
cond_T_s1,06000,99.6
cond_T_s1,06500,99.3
cond_T_s1,07000,99.8
cond_T_s1,07500,99.5
cond_T_s1,08000,99.4
cond_T_s1,08500,99.4
cond_T_s1,09000,99.3
cond_T_s1,09500,99.1
cond_T_s1,10000,99.3
cond_T_s2,00500,3.7
cond_T_s2,01000,80.2
cond_T_s2,01500,93.0
cond_T_s2,02000,96.2
cond_T_s2,02500,97.3
cond_T_s2,03000,98.8
cond_T_s2,03500,99.3
cond_T_s2,04000,98.0
cond_T_s2,04500,99.6
cond_T_s2,05000,99.3
cond_T_s2,05500,99.6
cond_T_s2,06000,99.4
cond_T_s2,06500,99.1
cond_T_s2,07000,99.0
cond_T_s2,07500,99.1
cond_T_s2,08000,99.1
cond_T_s2,08500,99.0
cond_T_s2,09000,99.4
cond_T_s2,09500,99.3
cond_T_s2,10000,99.0
cond_T_s3,00500,1.5
cond_T_s3,01000,68.5
cond_T_s3,01500,93.3
cond_T_s3,02000,97.0
cond_T_s3,02500,95.8
cond_T_s3,03000,91.1
cond_T_s3,03500,99.1
cond_T_s3,04000,98.3
cond_T_s3,04500,98.9
cond_T_s3,05000,99.6
cond_T_s3,05500,98.3
cond_T_s3,06000,99.6
cond_T_s3,06500,99.8
cond_T_s3,07000,98.8
cond_T_s3,07500,99.5
cond_T_s3,08000,99.5
cond_T_s3,08500,99.6
cond_T_s3,09000,99.6
cond_T_s3,09500,99.1
cond_T_s3,10000,99.8
