cond,iter,accuracy
cond_I_s1,01000,8.5
cond_I_s1,02000,69.3
cond_I_s1,03000,92.0
cond_I_s1,04000,97.7
cond_I_s1,05000,95.8
cond_I_s1,06000,97.8
cond_I_s1,07000,96.9
cond_I_s1,08000,99.1
cond_I_s1,09000,99.5
cond_I_s1,10000,99.5
cond_I_s1,11000,99.5
cond_I_s1,12000,99.6
cond_I_s1,13000,98.2
cond_I_s1,14000,99.8
cond_I_s1,15000,99.6
cond_I_s1,16000,99.4
cond_I_s1,17000,99.3
cond_I_s1,18000,99.6
cond_I_s1,19000,99.4
cond_I_s1,20000,99.3
cond_I_s2,01000,9.1
cond_I_s2,02000,66.2
cond_I_s2,03000,89.9
cond_I_s2,04000,97.4
cond_I_s2,05000,98.4
cond_I_s2,06000,94.5
cond_I_s2,07000,92.3
cond_I_s2,08000,98.7
cond_I_s2,09000,99.3
cond_I_s2,10000,95.1
cond_I_s2,11000,99.2
cond_I_s2,12000,99.3
cond_I_s2,13000,99.7
cond_I_s2,14000,99.2
cond_I_s2,15000,99.4
cond_I_s2,16000,99.9
cond_I_s2,17000,99.9
cond_I_s2,18000,99.8
cond_I_s2,19000,99.7
cond_I_s2,20000,99.5
cond_I_s3,01000,2.3
cond_I_s3,02000,70.5
cond_I_s3,03000,87.8
cond_I_s3,04000,96.0
cond_I_s3,05000,93.5
cond_I_s3,06000,97.7
cond_I_s3,07000,98.5
cond_I_s3,08000,99.6
cond_I_s3,09000,98.8
cond_I_s3,10000,99.5
cond_I_s3,11000,99.4
cond_I_s3,12000,99.3
cond_I_s3,13000,99.3
cond_I_s3,14000,97.4
cond_I_s3,15000,99.6
cond_I_s3,16000,99.8
cond_I_s3,17000,99.2
cond_I_s3,18000,98.3
cond_I_s3,19000,99.3
cond_I_s3,20000,99.2
cond_I_s4,01000,2.7
cond_I_s4,02000,52.2
cond_I_s4,03000,94.3
cond_I_s4,04000,94.4
cond_I_s4,05000,88.1
cond_I_s4,06000,99.1
cond_I_s4,07000,99.1
cond_I_s4,08000,99.4
cond_I_s4,09000,98.5
cond_I_s4,10000,99.3
cond_I_s4,11000,98.8
cond_I_s4,12000,98.9
cond_I_s4,13000,99.7
cond_I_s4,14000,99.6
cond_I_s4,15000,99.6
cond_I_s4,16000,99.4
cond_I_s4,17000,99.5
cond_I_s4,18000,99.5
cond_I_s4,19000,99.9
cond_I_s4,20000,99.0
cond_I_s5,01000,18.1
cond_I_s5,02000,36.2
cond_I_s5,03000,85.9
cond_I_s5,04000,95.8
cond_I_s5,05000,98.6
cond_I_s5,06000,97.3
cond_I_s5,07000,94.3
cond_I_s5,08000,99.4
cond_I_s5,09000,95.3
cond_I_s5,10000,99.5
cond_I_s5,11000,99.3
cond_I_s5,12000,99.0
cond_I_s5,13000,97.2
cond_I_s5,14000,99.6
cond_I_s5,15000,99.3
cond_I_s5,16000,99.8
cond_I_s5,17000,99.8
cond_I_s5,18000,99.6
cond_I_s5,19000,99.4
cond_I_s5,20000,99.1
cond_J_s1,01000,2.8
cond_J_s1,02000,56.1
cond_J_s1,03000,94.1
cond_J_s1,04000,92.2
cond_J_s1,05000,99.4
cond_J_s1,06000,96.6
cond_J_s1,07000,95.7
cond_J_s1,08000,99.3
cond_J_s1,09000,99.5
cond_J_s1,10000,98.6
cond_J_s1,11000,99.7
cond_J_s1,12000,99.6
cond_J_s1,13000,99.8
cond_J_s1,14000,99.8
cond_J_s1,15000,99.7
cond_J_s1,16000,99.6
cond_J_s1,17000,99.4
cond_J_s1,18000,99.9
cond_J_s1,19000,99.3
cond_J_s1,20000,99.7
cond_J_s2,01000,8.7
cond_J_s2,02000,73.3
cond_J_s2,03000,89.6
cond_J_s2,04000,97.8
cond_J_s2,05000,96.3
cond_J_s2,06000,98.8
cond_J_s2,07000,89.5
cond_J_s2,08000,99.3
cond_J_s2,09000,99.7
cond_J_s2,10000,99.6
cond_J_s2,11000,99.3
cond_J_s2,12000,96.9
cond_J_s2,13000,99.2
cond_J_s2,14000,99.7
cond_J_s2,15000,99.4
cond_J_s2,16000,99.6
cond_J_s2,17000,99.8
cond_J_s2,18000,99.5
cond_J_s2,19000,99.5
cond_J_s2,20000,99.3
cond_J_s3,01000,3.0
cond_J_s3,02000,73.4
cond_J_s3,03000,56.3
cond_J_s3,04000,97.8
cond_J_s3,05000,98.7
cond_J_s3,06000,98.4
cond_J_s3,07000,99.5
cond_J_s3,08000,99.6
cond_J_s3,09000,98.7
cond_J_s3,10000,99.1
cond_J_s3,11000,99.7
cond_J_s3,12000,99.7
cond_J_s3,13000,99.5
cond_J_s3,14000,99.9
cond_J_s3,15000,99.4
cond_J_s3,16000,99.4
cond_J_s3,17000,99.7
cond_J_s3,18000,99.8
cond_J_s3,19000,99.3
cond_J_s3,20000,99.6
cond_J_s4,01000,5.6
cond_J_s4,02000,87.1
cond_J_s4,03000,92.1
cond_J_s4,04000,98.3
cond_J_s4,05000,82.1
cond_J_s4,06000,96.8
cond_J_s4,07000,98.5
cond_J_s4,08000,99.5
cond_J_s4,09000,99.3
cond_J_s4,10000,99.4
cond_J_s4,11000,97.5
cond_J_s4,12000,99.0
cond_J_s4,13000,99.8
cond_J_s4,14000,99.3
cond_J_s4,15000,100.0
cond_J_s4,16000,99.7
cond_J_s4,17000,99.8
cond_J_s4,18000,99.8
cond_J_s4,19000,99.7
cond_J_s4,20000,99.9
cond_J_s5,01000,5.7
cond_J_s5,02000,57.1
cond_J_s5,03000,97.1
cond_J_s5,04000,93.5
cond_J_s5,05000,47.3
cond_J_s5,06000,99.1
cond_J_s5,07000,98.6
cond_J_s5,08000,99.1
cond_J_s5,09000,95.8
cond_J_s5,10000,99.4
cond_J_s5,11000,99.5
cond_J_s5,12000,99.7
cond_J_s5,13000,98.9
cond_J_s5,14000,99.5
cond_J_s5,15000,99.8
cond_J_s5,16000,99.4
cond_J_s5,17000,99.6
cond_J_s5,18000,99.5
cond_J_s5,19000,99.6
